34
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 3 1 6 13 eu
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
0 1 1 15 15 10 alo
